ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,{method '__enter__' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
4,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
4,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
2,0.000,0.000,0.000,0.000,{built-in method _thread.get_ident}
1,0.000,0.000,0.000,0.000,{built-in method time.time}
1,0.000,0.000,0.000,0.000,{built-in method time.localtime}
1,0.000,0.000,0.000,0.000,{built-in method time.strftime}
1,0.000,0.000,0.000,0.000,{method 'append' of 'collections.deque' objects}
1,0.000,0.000,0.000,0.000,{built-in method posix.getpid}
3,0.000,0.000,0.000,0.000,{built-in method posix.fspath}
1,0.000,0.000,0.000,0.000,{built-in method sys._getframe}
2,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
4,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
5,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
1,0.000,0.000,0.000,0.000,{built-in method builtins.issubclass}
2,0.000,0.000,0.000,0.000,{method 'find' of 'str' objects}
3,0.000,0.000,0.000,0.000,{method 'rfind' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method 'startswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,{method '__reduce_ex__' of 'object' objects}
1,0.000,0.000,0.000,0.000,{built-in method __new__ of type object at 0x55e0895a2260}
4,0.000,0.000,0.000,0.000,{method 'get' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'update' of 'dict' objects}
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/handlers.py:1351(enqueue)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/handlers.py:1361(prepare)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/logging/handlers.py:1390(emit)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/multiprocessing/queues.py:80(put)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/multiprocessing/queues.py:128(put_nowait)
1,0.000,0.000,0.000,0.000,{method 'get' of 'cv2.VideoCapture' objects}
1,0.000,0.000,0.000,0.000,{method 'read' of 'cv2.VideoCapture' objects}
1,0.000,0.000,0.000,0.000,{method 'release' of 'cv2.VideoCapture' objects}
2,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/site-packages/openpifpaf/show/animation_frame.py:61(iter)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/multiprocessing/process.py:36(current_process)
1,0.000,0.000,0.000,0.000,/home/root1/anaconda3/lib/python3.7/multiprocessing/process.py:180(name)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
